time,FL1,FL6,FL19,TA21s1,TB21s11,TL8s1,TL9s1,TL14s1,PS1,PS2,PH1,PH2,cv42C,cv43C
12.919798,124.89145,332.73464,457.93727,613.85464,514.88651,387.85723,387.72831,492.16661,79.742973,95.281761,32.7306,36.055332,62508.508,62815.758
13.019798,123.75783,333.58961,457.6602,613.9308,514.96735,387.85851,387.72814,492.21212,79.651421,95.325478,32.681168,36.039521,62506.543,62818.449
13.119798,122.6079,334.45997,457.38238,614.00506,515.04652,387.8598,387.72797,492.25789,79.559868,95.369186,32.632215,36.022027,62504.234,62821.316
13.219798,121.44694,335.33825,457.10126,614.07796,515.12488,387.86112,387.7278,492.30398,79.468315,95.412895,32.583581,36.003328,62501.551,62824.375
13.319798,120.27921,336.22022,456.81719,614.15012,515.20321,387.86241,387.72763,492.35029,79.376762,95.456604,32.535158,35.983752,62498.598,62827.598
13.419798,119.1078,337.10301,456.53029,614.22214,515.28191,387.86374,387.72746,492.39688,79.28521,95.500313,32.486864,35.963496,62495.477,62830.945
13.519798,117.93443,337.9845,456.2399,614.29437,515.36123,387.86509,387.72729,492.44375,79.193657,95.544022,32.438648,35.942722,62492.266,62834.395
13.619798,116.76109,338.86389,455.94779,614.36713,515.44125,387.86641,387.72712,492.49081,79.102104,95.58773,32.390465,35.921512,62489.012,62837.918
13.719798,115.58856,339.74015,455.65297,614.44058,515.52199,387.86777,387.72695,492.53811,79.010544,95.631439,32.342282,35.899923,62485.723,62841.492
13.819798,114.4178,340.61298,455.35666,614.51477,515.60343,387.86913,387.72678,492.58569,78.918991,95.675148,32.29408,35.878005,62482.449,62845.102
13.919798,113.24925,341.48204,455.05918,614.58971,515.68559,387.87048,387.72658,492.6335,78.827438,95.718857,32.245855,35.855814,62479.16,62848.746
14.019798,112.08264,342.34648,454.75852,614.66526,515.7684,387.87187,387.72641,492.68155,78.735886,95.762566,32.197593,35.833362,62475.844,62852.41
14.119798,110.91891,343.20694,454.45737,614.74148,515.85185,387.87326,387.72624,492.72987,78.644333,95.806274,32.149291,35.810682,62472.527,62856.098
14.219798,109.75778,344.06299,454.15399,614.81825,515.93591,387.87465,387.72607,492.77842,78.55278,95.849983,32.100945,35.787776,62469.23,62859.809
14.319798,108.59373,344.91765,453.84613,614.89556,516.02054,387.87601,387.7259,492.82725,78.461227,95.893692,32.048818,35.764491,62465.945,62863.543
14.419798,107.40535,345.78151,453.52344,614.97362,516.10657,387.8774,387.72569,492.87632,78.369675,95.937408,31.992359,35.739942,62461.977,62867.285
14.519798,106.19886,346.65196,453.19008,615.0531,516.19497,387.87879,387.72549,492.92569,78.278122,95.981117,31.936269,35.714248,62457.57,62871.0
14.619798,104.98161,347.527,452.85088,615.13448,516.28591,387.88015,387.72529,492.97533,78.186569,96.024826,31.880424,35.687601,62453.137,62874.633
14.719798,103.75687,348.4032,452.50429,615.2181,516.37919,387.88154,387.72508,493.02528,78.095016,96.068535,31.824748,35.660214,62448.77,62878.152
14.819798,102.52851,349.27949,452.15549,615.30382,516.47451,387.88296,387.72488,493.07556,78.003464,96.112244,31.769186,35.63223,62444.449,62881.559
14.919798,101.29842,350.15437,451.80278,615.39137,516.57155,387.88435,387.72468,493.12622,77.911911,96.155952,31.713701,35.603776,62440.27,62884.848
15.019798,100.06815,351.02695,451.44769,615.48048,516.66999,387.88578,387.72447,493.17725,77.820351,96.199661,31.658263,35.574915,62436.164,62888.035
15.119798,98.838411,351.8962,451.09025,615.57095,516.76961,387.8872,387.72424,493.22866,77.728798,96.24337,31.602859,35.545749,62432.043,62891.133
15.219798,97.610273,352.76208,450.73054,615.66257,516.87025,387.88862,387.72403,493.2805,77.637245,96.287079,31.54747,35.516286,62428.016,62894.156
15.319798,96.384225,353.62425,450.36986,615.75507,516.97174,387.89005,387.72383,493.33276,77.545692,96.330788,31.492094,35.486606,62424.02,62897.117
15.419798,95.160538,354.48254,450.00757,615.84846,517.07404,387.89151,387.72363,493.38545,77.45414,96.374496,31.436721,35.456687,62420.0,62900.039
15.519798,93.939494,355.33685,449.64334,615.94259,517.17706,387.89296,387.72339,493.43859,77.362587,96.418205,31.381338,35.426545,62416.023,62902.93
15.619798,92.721302,356.1872,449.27912,616.03739,517.28071,387.89442,387.72319,493.49213,77.271034,96.461914,31.325962,35.396256,62412.051,62905.805
15.719798,91.505671,357.03317,448.91249,616.13281,517.38495,387.89588,387.72298,493.54611,77.179482,96.505623,31.270577,35.365779,62408.082,62908.664
15.819798,90.293196,357.87538,448.54461,616.22877,517.48983,387.89737,387.72274,493.60053,77.087929,96.549339,31.215185,35.335111,62404.164,62911.523
15.919798,89.08315,358.7131,448.17581,616.32528,517.59525,387.89883,387.72254,493.6554,76.996376,96.593048,31.159796,35.304338,62400.168,62914.387
16.019798,87.876136,359.54703,447.80497,616.42225,517.70128,387.90032,387.72234,493.7107,76.904823,96.636757,31.104392,35.273352,62396.195,62917.262
16.119798,86.672042,360.377,447.43352,616.51957,517.80785,387.90181,387.72213,493.76641,76.813271,96.680466,31.048986,35.242235,62392.254,62920.152
16.219798,85.470828,361.20315,447.0626,616.6173,517.91497,387.90327,387.7219,493.8226,76.72171,96.724174,30.993585,35.211016,62388.266,62923.062
16.319798,84.271988,362.0251,446.68804,616.71556,518.02256,387.90476,387.72169,493.87919,76.630157,96.767883,30.938174,35.179629,62384.285,62926.0
16.419798,83.0764,362.84372,446.31255,616.81424,518.1307,387.90629,387.72149,493.93623,76.538605,96.811592,30.882754,35.148057,62380.379,62928.961
16.519798,81.883104,363.65827,445.93792,616.91352,518.23927,387.90778,387.72125,493.9937,76.447052,96.855301,30.827351,35.116436,62376.309,62931.957
16.619798,80.69259,364.46922,445.56132,617.01328,518.34835,387.90927,387.72105,494.05158,76.355499,96.89901,30.771936,35.084638,62372.293,62934.984
16.719798,79.50499,365.27682,445.1838,617.11351,518.45795,387.91077,387.72081,494.1099,76.263947,96.942719,30.71652,35.052688,62368.312,62938.043
16.819798,78.319141,366.08007,444.80407,617.21422,518.56805,387.91229,387.72061,494.16867,76.172394,96.986427,30.66111,35.020653,62364.25,62941.133
16.919798,77.136171,366.88023,444.42385,617.31547,518.67866,387.91378,387.7204,494.22784,76.080841,97.030136,30.605704,34.98849,62360.238,62944.262
17.019798,75.955873,367.67703,444.04274,617.41713,518.78974,387.91531,387.72017,494.28741,75.989288,97.073845,30.550296,34.956169,62356.238,62947.426
17.119798,74.777935,368.4704,443.66104,617.51926,518.9013,387.9168,387.71996,494.34743,75.897736,97.117554,30.494894,34.92375,62352.164,62950.629
17.219798,73.602164,369.2602,443.27865,617.6218,519.0134,387.91833,387.71973,494.40789,75.806183,97.16127,30.439502,34.891238,62348.09,62953.871
17.319798,72.428946,370.04693,442.89477,617.72488,519.12601,387.91982,387.71952,494.46872,75.71463,97.204979,30.384113,34.858582,62344.023,62957.152
17.419798,71.257832,370.83023,442.50959,617.82837,519.2391,387.92135,387.71932,494.53,75.62307,97.248688,30.32873,34.825809,62339.957,62960.48
17.519798,70.089245,371.61056,442.12305,617.93233,519.35265,387.92287,387.71908,494.59167,75.531517,97.292397,30.273352,34.792916,62335.949,62963.852
17.619798,68.922388,372.38721,441.73629,618.03677,519.46672,387.92436,387.71888,494.65376,75.439964,97.336105,30.217988,34.75995,62331.832,62967.27
