t_trip,P2_end,T_trip
28.819798,132.01404,636.39282
30.219798,132.01404,639.4005
31.719798,132.01404,642.52767
33.219798,132.01404,645.5112
34.819798,132.01404,648.50966
36.519798,132.01404,651.55396
38.319798,132.01404,654.69408
40.119798,132.01404,657.70013
43.519798,132.01404,663.69893
41.919798,132.01404,660.71682
45.219798,132.01404,666.82231
46.819798,132.01404,669.75701
49.919798,132.01404,676.36637
48.619798,132.01404,672.75804
50.119798,132.01404,679.89597
50.319798,132.01404,684.44071
50.419798,132.01404,686.70485
50.519798,132.01404,688.79313
50.719798,132.01404,692.22866
50.919798,132.01404,694.68207
0,0,0
51.319798,132.01404,697.39468
4.4197983,133.34303,609.06148
0.11979835,133.34303,606.82475
8.8197984,133.34303,612.12606
12.719798,133.34303,615.17375
18.919798,133.34303,621.23935
15.919798,133.34303,618.15152
23.719798,133.34303,627.33541
21.419798,133.34303,624.27375
25.619798,133.34303,630.34607
27.419798,133.34303,633.50335
28.819798,133.34303,636.39282
30.219798,133.34303,639.4005
33.219798,133.34303,645.5112
31.719798,133.34303,642.52767
34.819798,133.34303,648.50966
36.519798,133.34303,651.55396
38.319798,133.34303,654.69401
40.119798,133.34303,657.70013
41.919798,133.34303,660.71682
43.519798,133.34303,663.69893
46.819798,133.34303,669.75701
45.219798,133.34303,666.82231
49.919798,133.34303,676.36637
48.619798,133.34303,672.75804
50.119798,133.34303,679.89597
50.319798,133.34303,684.44071
50.419798,133.34303,686.70485
50.519798,133.34303,688.79313
50.919798,133.34303,694.68207
50.719798,133.34303,692.22866
51.319798,133.34303,697.39468
0,0,0
0.11979835,134.67204,606.82475
4.4197983,134.67204,609.06148
8.8197984,134.67204,612.12606
12.719798,134.67204,615.17375
15.919798,134.67204,618.15152
18.919798,134.67204,621.23935
23.719798,134.67204,627.33541
21.419798,134.67204,624.27375
27.419798,134.67204,633.50335
25.619798,134.67204,630.34607
30.219798,134.67204,639.4005
